1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
1579,1568,1585,1666,1671,1728,1798,1809,1820,1836,1881,1914,1940,1935,1979,1986,1950,2024,1979,1991,2014,2069,2037,1978,1992,2025,2046,2185,2504,2726,2898,2977,3029,2956,3210,3156,3201,3307,3319,3358,3357,3471,3387,3489,3391,3388,3473,3391,3344,3534,4578,4357,4195,3938,3933,4066,4068,3994,4201,4089,4050,4146,4230,4465,4670,4384,4458,5052,4856,4605,4289,4342,4207,4212,4186,4184,4236,4417,4492,4378,4347,4383,4458,4435,4575,4627,4737,4775,4382,3856,3020,3023,3214,3180,3306,3274,3420,3551,3527,3555,3673,3677,3676,3780,3728,3810,4002,3864,3861,3931,3884,3945,3852,3875,3819,3695,3794,3875,4150,4343,2273,2267,2186,2577,2571,2245,2198,2734,2391,2494,2671,2343,2111,2015,2167,2683,2516,2638,2712,2703,2788,2628,2543,2697,2362,2111,1891,2826,2850,2508,2234,1949,2148,3038,3434
1545,1559,1601,1689,1664,1735,1778,1807,1828,1870,1911,1945,1942,1979,1979,1979,1983,2038,1992,2046,2024,2102,2070,2034,2054,2081,2106,2257,2528,2729,2914,3019,3047,2997,3184,3224,3268,3260,3302,3391,3400,3432,3379,3443,3489,3517,3432,3395,3375,3079,3978,4335,4296,3904,3891,4064,4139,4025,3999,4109,4094,4302,4329,4335,4408,4749,5091,4425,4263,4577,4164,4014,4043,3938,3930,4009,3974,3953,4104,4085,4183,4186,4191,4167,4090,4224,4199,4377,2612,2592,2792,2844,2614,2519,2705,2776,2838,2783,3028,3114,2940,3042,3054,3187,3172,3158,3353,3377,3351,3360,3261,3303,3292,3271,3098,3215,3075,3229,3487,3727,1499,1569,1779,2127,2314,2789,2397,1859,1907,2059,1904,1202,1278,1877,1781,1582,1543,2116,2152,2322,2444,1979,2078,2032,1929,1720,1654,1959,1886,1063,1070,1441,1490,1599,1925
1493,1549,1566,1658,1643,1675,1744,1759,1801,1816,1880,1866,1937,1961,1930,1916,1939,1932,1904,1922,1914,1908,1915,1946,1874,1883,1859,2061,2492,2819,3224,3462,3615,3488,3786,3814,3828,3896,3906,4037,3998,4021,4012,4070,4141,4038,4106,4076,4014,3851,4004,4468,4404,4436,4409,4299,4393,4477,4513,4712,4677,4608,4751,4912,5074,5012,5164,5173,4906,4481,4298,4215,4148,4251,4328,4093,4089,4152,4286,4290,4324,4412,4501,4318,4303,4370,4284,4227,2865,2592,2414,2441,2232,2349,2287,2337,2408,2440,2710,2728,2704,2765,3062,3084,3104,3158,3042,3014,3077,3126,2872,2889,3094,3141,2744,2774,2960,3019,2947,2750,1692,1918,556,573,-86,612,999,1167,1357,1305,1477,1202,1248,1187,1246,1307,1275,1536,1533,1802,1755,1418,1427,1810,1811,782,670,1808,1970,1105,1210,1144,1184,1706,1925
1493,1549,1566,1658,1643,1675,1744,1759,1801,1816,1880,1866,1937,1961,1930,1916,1939,1932,1904,1922,1914,1908,1915,1946,1874,1883,1859,2061,2492,2819,3224,3462,3615,3488,3786,3814,3828,3896,3906,4037,3998,4021,4012,4070,4141,4038,4106,4076,4014,3851,4004,4468,4404,4436,4409,4299,4393,4477,4513,4712,4677,4608,4751,4912,5074,5012,5164,5173,4906,4481,4298,4215,4148,4251,4328,4093,4089,4152,4286,4290,4324,4412,4501,4318,4303,4370,4284,4227,2865,2592,2414,2441,2232,2349,2287,2337,2408,2440,2710,2728,2704,2765,3062,3084,3104,3158,3042,3014,3077,3126,2872,2889,3094,3141,2744,2774,2960,3019,2947,2750,1692,1918,556,573,-86,612,999,1167,1357,1305,1477,1202,1248,1187,1246,1307,1275,1536,1533,1802,1755,1418,1427,1810,1811,782,670,1808,1970,1105,1210,1144,1184,1706,1925
1600,1631,1625,1714,1734,1768,1840,1891,1920,1958,1991,2042,2046,2077,2075,2089,2101,2112,2110,2170,2163,2185,2170,2149,2169,2179,2198,2347,2673,2851,3056,3181,3224,3088,3394,3350,3403,3456,3541,3506,3557,3600,3598,3618,3666,3637,3619,3663,3548,3672,3637,4057,3950,3832,3907,4093,4186,4033,4117,4035,4050,4051,4174,4438,4635,4215,4620,4821,4745,4474,4294,4215,4071,4015,4084,4115,4212,4414,4485,4332,4265,4332,4450,4339,4453,4569,4668,4496,3539,3202,2929,2920,3092,3035,3230,3267,3261,3267,3338,3451,3446,3481,3572,3622,3634,3749,3829,3794,3642,3688,3611,3635,3709,3662,3655,3617,3564,3543,3831,3981,1451,1220,3372,2331,1543,2585,2747,2406,2488,2436,2443,2343,2170,2318,2196,2305,2248,2725,2712,2461,2506,2599,2605,2143,1889,2424,2245,2562,2599,2721,3025,2415,2279,3678,4059
1496,1632,1613,1694,1681,1730,1778,1798,1813,1840,1899,1896,1928,1944,1966,1927,1939,1986,1970,1978,1926,1939,1947,1930,1974,1938,1911,2064,2325,2559,2804,2881,2978,2889,3144,3103,3169,3193,3142,3273,3258,3251,3256,3209,3202,3169,3259,3403,3290,3313,4445,3217,3219,3348,3457,3290,3460,3510,3517,3250,3294,3405,3508,3464,3555,3715,4134,4072,3941,3578,3493,3257,3289,3337,3351,3321,3296,3340,3411,3485,3605,3365,3366,3389,3498,3563,3553,3721,2107,2418,2425,2422,2545,2623,2455,2538,2710,2699,2512,2544,2635,2693,2631,2633,2907,2897,3008,2969,2968,2986,2823,2806,2908,2939,2732,2684,2702,2897,2873,3076,967,407,1779,1350,943,1497,1898,1349,1422,1566,1563,1819,1843,1656,1781,1823,1879,1971,1975,1768,1849,2008,1861,1699,1732,1525,1575,1582,1635,2423,2513,1271,1008,1119,1561
1529,1567,1624,1710,1697,1728,1798,1779,1825,1844,1914,1944,2022,2019,2017,1991,1981,1984,1981,2021,1975,1996,2014,1955,1967,2006,2016,2146,2485,2869,3174,3370,3429,3322,3571,3569,3528,3613,3577,3596,3617,3647,3614,3618,3594,3654,3599,3622,3632,3534,4610,3958,3846,3802,3800,3964,3933,3925,3946,3756,3735,3940,3991,3891,3928,3985,4237,4975,4313,3984,3979,3751,3713,3780,3859,3749,3691,3633,3717,3808,3792,3796,3778,3699,3832,3990,3976,4238,2697,2854,2437,2497,2441,2414,2667,2612,2770,2799,2848,2825,2765,2908,2950,2942,3001,3088,3232,3138,3214,3210,2979,3034,3116,3176,2985,2878,2860,2932,3119,3185,580,116,1112,1472,1114,1429,1798,1677,1810,1682,1705,1480,1546,1821,1959,1926,2147,2029,2034,1872,1849,1890,2078,1736,1693,1407,985,2110,2222,2083,2188,1144,1052,640,260
1617,1714,1796,1839,1855,1932,1974,2054,2096,2138,2202,2213,2291,2335,2363,2438,2490,2539,2567,2671,2640,2676,2772,2792,2844,2899,2889,3042,3007,2997,3051,3043,3017,2905,3118,3110,3102,3101,3162,3222,3192,3209,3203,3163,3125,3066,3021,3144,3406,3318,4031,3450,3464,3207,3282,3421,3383,3173,3229,3348,3438,3547,3535,3425,3485,3533,3943,3753,3670,3902,3764,3593,3561,3592,3595,3471,3453,3468,3472,3534,3514,3469,3511,3619,3726,3931,4007,4302,5056,4705,4130,4121,4030,3988,4134,4153,4024,4069,4069,4173,4388,4143,3859,3938,4036,3967,3950,3935,4043,3978,4108,4111,4148,4255,4388,4278,4110,4259,4690,4741,4110,4417,4336,3763,3343,5375,5045,4265,4072,4118,4290,4193,3983,4002,3947,3749,3523,4609,4481,3604,3415,3928,3815,3694,3503,3284,3230,3767,3982,4549,4515,4491,4383,4637,4163
1547,1601,1677,1738,1722,1799,1828,1864,1900,1945,2004,2054,2074,2113,2105,2146,2153,2182,2187,2242,2225,2279,2323,2322,2349,2400,2395,2528,2666,2843,2994,3067,3042,3000,3236,3160,3229,3240,3201,3231,3266,3245,3290,3274,3277,3245,3228,3201,3202,2753,4286,3978,3912,3677,3631,4022,4048,4000,3909,3958,3950,3898,4011,4105,4168,4195,4561,4359,3810,4363,4087,3910,3900,3854,3816,3895,3873,3939,3905,3926,3956,3964,3967,3774,3939,4224,4099,4571,2823,3028,3123,3079,2753,2704,3146,3267,2959,3100,3312,3443,3263,3203,3445,3440,3420,3471,3656,3554,3633,3641,3407,3490,3500,3496,3351,3241,3363,3595,3634,3691,2079,1627,2149,2454,1971,2449,2248,2443,2585,2378,2159,1788,2021,2456,2523,1961,1845,2522,2771,2357,2287,2451,2543,2475,2126,2111,2009,2449,2389,1913,1582,1991,2236,1919,1301
1463,1516,1631,1665,1651,1714,1778,1821,1833,1848,1907,1958,1994,1967,1984,1973,2007,2007,2046,1972,2030,2010,2032,2018,2023,1990,2028,2230,2690,2986,3241,3390,3525,3396,3634,3638,3641,3663,3673,3768,3759,3731,3783,3785,3783,3818,3657,3764,3690,4200,3026,4114,4095,3783,3756,4070,4121,4118,4209,4392,4512,4359,4396,4515,4635,4283,3869,5261,5288,4577,4341,4261,4269,4054,4170,4038,4107,4159,4286,4108,4069,4312,4395,4230,4356,4376,4468,4377,3160,3420,2506,2591,2814,2882,3017,3059,3269,3200,3175,3298,3385,3400,3437,3479,3480,3584,3699,3740,3615,3688,3397,3438,3325,3235,3301,3384,3391,3421,3512,3872,1257,988,778,532,-86,1565,1648,2370,2521,1653,1477,925,1070,1297,1395,1754,1745,1797,1798,1733,1661,1624,1458,2253,2165,1564,1379,2298,2180,2253,2374,2330,2455,1492,1769
